"timestamp" "bugsigdb_signatures_genus_metaphlan_exact.gmt" "bugsigdb_signatures_genus_metaphlan.gmt" "bugsigdb_signatures_genus_ncbi_exact.gmt" "bugsigdb_signatures_genus_ncbi.gmt" "bugsigdb_signatures_genus_taxname_exact.gmt" "bugsigdb_signatures_genus_taxname.gmt" "bugsigdb_signatures_mixed_metaphlan.gmt" "bugsigdb_signatures_mixed_ncbi.gmt" "bugsigdb_signatures_mixed_taxname.gmt" "bugsigdb_signatures_species_metaphlan_exact.gmt" "bugsigdb_signatures_species_metaphlan.gmt" "bugsigdb_signatures_species_ncbi_exact.gmt" "bugsigdb_signatures_species_ncbi.gmt" "bugsigdb_signatures_species_taxname_exact.gmt" "bugsigdb_signatures_species_taxname.gmt" "exp.csv" "full_dump.csv" "sig.csv" "stud.csv"
"2026-07-01_01:39_UTC" 9304 9311 9304 9311 9304 9311 13419 13419 13419 6080 6080 6080 6080 6080 6080 8892 15008 14201 2248
"2026-07-01_02:55_UTC" 9304 9311 9304 9311 9304 9311 13419 13419 13419 6080 6080 6080 6080 6080 6080 8892 15008 14201 2248
"2026-07-01_04:31_UTC" 9304 9311 9304 9311 9304 9311 13419 13419 13419 6080 6080 6080 6080 6080 6080 8892 15008 14201 2248
"2026-07-01_06:25_UTC" 9304 9311 9304 9311 9304 9311 13419 13419 13419 6080 6080 6080 6080 6080 6080 8892 15008 14201 2248
"2026-07-01_08:20_UTC" 9304 9311 9304 9311 9304 9311 13419 13419 13419 6080 6080 6080 6080 6080 6080 8892 15008 14201 2248
"2026-07-01_10:16_UTC" 9304 9311 9304 9311 9304 9311 13418 13418 13418 6079 6079 6079 6079 6079 6079 8892 15007 14199 2248
"2026-07-01_11:55_UTC" 9304 9311 9304 9311 9304 9311 13412 13412 13412 6073 6073 6073 6073 6073 6073 8892 15001 14194 2248
"2026-07-01_12:57_UTC" 9304 9311 9304 9311 9304 9311 13414 13414 13414 6075 6075 6075 6075 6075 6075 8892 15003 14197 2248
"2026-07-01_14:53_UTC" 9304 9311 9304 9311 9304 9311 13414 13414 13414 6076 6076 6076 6076 6076 6076 8892 15003 14197 2248
"2026-07-01_15:49_UTC" 9304 9311 9304 9311 9304 9311 13414 13414 13414 6076 6076 6076 6076 6076 6076 8892 15003 14199 2248
"2026-07-01_16:42_UTC" 9304 9311 9304 9311 9304 9311 13414 13414 13414 6076 6076 6076 6076 6076 6076 8892 15003 14199 2248
"2026-07-01_17:33_UTC" 9304 9311 9304 9311 9304 9311 13414 13414 13414 6076 6076 6076 6076 6076 6076 8892 15003 14199 2248
"2026-07-01_18:32_UTC" 9304 9311 9304 9311 9304 9311 13414 13414 13414 6076 6076 6076 6076 6076 6076 8892 15003 14199 2248
"2026-07-01_19:26_UTC" 9304 9311 9304 9311 9304 9311 13414 13414 13414 6076 6076 6076 6076 6076 6076 8892 15003 14200 2248
